code,coding_system,description,entity,list_name,upload_date
N05z.00,Read,Osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z000,Read,Osteoarthritis NOS; of unspecified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z100,Read,Osteoarthritis NOS; of shoulder region,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z200,Read,Osteoarthritis NOS; of the upper arm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z211,Read,Elbow osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z300,Read,Osteoarthritis NOS; of the forearm,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z311,Read,Wrist osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z400,Read,Osteoarthritis NOS; of the hand,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z411,Read,Finger osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z412,Read,Thumb osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z500,Read,Osteoarthritis NOS; pelvic region/thigh,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z511,Read,Hip osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z600,Read,Osteoarthritis NOS; of the lower leg,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z611,Read,Knee osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z700,Read,Osteoarthritis NOS; of ankle and foot,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z711,Read,Ankle osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z712,Read,Foot osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z713,Read,Toe osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z800,Read,Osteoarthritis NOS; other specified site,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05z900,Read,Osteoarthritis NOS; of shoulder,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zA00,Read,Osteoarthritis NOS; of sternoclavicular joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zB00,Read,Osteoarthritis NOS; of acromioclavicular joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zC00,Read,Osteoarthritis NOS; of elbow,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zD00,Read,Osteoarthritis NOS; of distal radio-ulnar joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zE00,Read,Osteoarthritis NOS; of wrist,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zF00,Read,Osteoarthritis NOS; of MCP joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zG00,Read,Osteoarthritis NOS; of PIP joint of finger,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zH00,Read,Osteoarthritis NOS; of DIP joint of finger,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zJ00,Read,Osteoarthritis NOS; of hip,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zK00,Read,Osteoarthritis NOS; of sacro-iliac joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zL00,Read,Osteoarthritis NOS; of knee,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zM00,Read,Osteoarthritis NOS; of tibio-fibular joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zN00,Read,Osteoarthritis NOS; of ankle,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zP00,Read,Osteoarthritis NOS; of subtalar joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zQ00,Read,Osteoarthritis NOS; of talonavicular joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zR00,Read,Osteoarthritis NOS; of other tarsal joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zS00,Read,Osteoarthritis NOS; of 1st MTP joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zT00,Read,Osteoarthritis NOS; of lesser MTP joint,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zU00,Read,Osteoarthritis NOS; of IP joint of toe,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N05zz00,Read,Osteoarthritis NOS,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N110.12,Read,Osteoarthritis cervical spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
N11..12,Read,Osteoarthritis of spine,diagnostic,267 - res26: Osteoarthritis,2015-04-20
